id,event,species,sample,filtered,fp_type,particle_id,plastic_composite,microplastic,size_mm,type,colour,colcat,polymer,colcat-polymer,polymer_bin,spectra-allpro,spectra-batchpro,remove-polymer-allpro,subtract-polymer-allpro,subtract-mean-polymer-allpro,remove-polymer-batchpro,subtract-polymer-batchpro,lod-polymer-allpro,loq-polymer-allpro,remove_polymer+colcat_allpro,subtract_polymer+colour_allpro,remove_polymer+colour_batchpro,subtract_polymer+colour_batchpro,lod-polymer+colour-allpro,loq-polymer+colour-allpro,count-y-alltechniques,remove>half-alltechniques,count-y-polymer+colcattechniques,remove>half-polymer+colcattechniques
13-ANI-MICROSCOPY,13,ANI,MICROSCOPY,na,env,13ANIENVCON-MICROSCOPY_F5_p1,Plastic,MP,1.394,FB,BN,YL,PET,YL_PET,PET,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_B8_p1,Plastic,MMP,0.101,MFR,GY-WT,WT,PNMA,WT_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_B8_p2,Composite,MMP,0.168,MFR,GY-WT,WT,PNMA,WT_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_C3_p2,Composite,MMP,0.034,MFR,TP,TP,PNMA,TP_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_C4_p2,Composite,MMP,0.148,MFR,BN,YL,PE,YL_PE,PE,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_C4_p2b,Composite,MMP,0.312,MFR,TP,TP,PTFE,TP_PTFE,OTHER,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_C4_p3,Composite,MMP,0.065,MFR,BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_C5_p1,Composite,MMP,0.048,MFR,BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_C8_p3,Composite,MMP,0.098,MFR,TP,TP,PEST,TP_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_E5_p2,Composite,MMP,0.077,MFR,BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_F6_p6,Plastic,MMP,0.106,MFR,BK,BK,EVA,BK_EVA,EVA,,,,,,,,,,,,,,,,,,,
13-NOG-DIGFILT,13,NOG,DIGFILT,na,env,13NOGENVCON-DIGFILT_f1-1_F5_p2,Composite,MMP,0.066,MFR,BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-NOG-DISS,13,NOG,DISS,na,env,13NOGENVCON-DISS_f1-1_F8_p1,Composite,MMP,0.056,MFR,BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
13-NOG-DISS,13,NOG,DISS,na,env,13NOGENVCON-DISS_f1-1_G5_p2,Composite,MMP,0.064,MFR,BN,YL,PTFE,YL_PTFE,PTFE,,,,,,,,,,,,,,,,,,,
13-NOG-DISS,13,NOG,DISS,na,env,13NOGENVCON-DISS_f1-1_G6_p2,Plastic,MP,1.429,FB,TP,TP,PET,TP_PET,PET,,,,,,,,,,,,,,,,,,,
26-ANI-DIGFILT,26,ANI,DIGFILT,na,env,26ANIENVCON-DIGFILT_f1-1_A5_p1,Composite,MMP,0.045,MFR,RD,RD,PNMA,RD_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
26-ANI-DIGFILT,26,ANI,DIGFILT,na,env,26ANIENVCON-DIGFILT_A5_p5,Plastic,MMP,0.134,MFR,SV,BK,PVC,BK_PVC,PVC,,,,,,,,,,,,,,,,,,,
26-ANI-DIGFILT,26,ANI,DIGFILT,na,env,26ANIENVCON-DIGFILT_A5_p7,Plastic,MMP,0.288,MFB,BK,BK,PET,BK_PET,PET,,,,,,,,,,,,,,,,,,,
26-ANI-DIGFILT,26,ANI,DIGFILT,na,env,26ANIENVCON-DIGFILT_B8_p1,Plastic,MMP,0.055,MFR,RD-BN,RD,PET,RD_PET,PET,,,,,,,,,,,,,,,,,,,
26-ANI-DIGFILT,26,ANI,DIGFILT,na,env,26ANIENVCON-DIGFILT_f1-1_B5_p1,Composite,MMP,0.152,MFR,TQ-BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
26-ANI-DIGFILT,26,ANI,DIGFILT,na,env,26ANIENVCON-DIGFILT_f1-1_E7_p1,Composite,MMP,0.037,MFR,TQ-BL,BL,PEST,BL_PEST,PEST,,,,,,,,,,,,,,,,,,,
26-ANI-DISS,26,ANI,DISS,na,env,26ANIENVCON-DISS_f1-1_B7_p1,Composite,MMP,0.055,MFR,BK-CL,BK,PNMA,BK_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
26-ANI-DISS,26,ANI,DISS,na,env,26ANIENVCON-DISS_f1-1_B5_p1,Composite,MMP,0.135,MFR,BN,YL,PEST,YL_PEST,PEST,,,,,,,,,,,,,,,,,,,
26-ANI-DISS,26,ANI,DISS,na,env,26ANIENVCON-DISS_f1-1_D6_p1,Composite,MMP,0.194,MFR,CL-BN,YL,PNMA,YL_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
26-ANI-DISS,26,ANI,DISS,na,env,26ANIENVCON-DISS_f1-1_E5_p1,Composite,MMP,0.139,MFR,TP,TP,PNMA,TP_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
26-NOG-DIGFILT,26,NOG,DIGFILT,na,env,26NOGENVCON-DIGFILT_f1-1_B6_p12,Plastic,MMP,0.055,MFR,BN,YL,EVA,YL_EVA,EVA,,,,,,,,,,,,,,,,,,,
26-NOG-DIGFILT,26,NOG,DIGFILT,na,env,26NOGENVCON-DIGFILT_f1-1_E8_p3,Composite,MMP,0.099,MFR,BN-CL,YL,PNMA,YL_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
26-NOG-DIGFILT,26,NOG,DIGFILT,na,env,26NOGENVCON-DIGFILT_f1-1_E7_p4,Composite,MMP,0.150,MFR,GY,BK,PMMA,BK_PMMA,PMMA,,,,,,,,,,,,,,,,,,,
