sample,event,species,type,lab,contamination,plastic-composite,length_mm,girth_mm,gapetosnout_mm,vmo_mm,hmo_mm,weight_g,gut_g,stomach_fullness_index,heart_g,liver_g,condition,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13ANI05,13,ANI,dig,Hardy301,extreme,plastic,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,conservative,plastic,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,original,composite,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,extreme,composite,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,conservative,composite,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI06,13,ANI,dig,Hardy301,original,plastic,251,119,31.73,41.27,38.84,128.9,6.064,2,0.969,na,0.815139151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI06,13,ANI,dig,Hardy301,extreme,plastic,251,119,31.73,41.27,38.84,128.9,6.064,2,0.969,na,0.815139151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI06,13,ANI,dig,Hardy301,conservative,plastic,251,119,31.73,41.27,38.84,128.9,6.064,2,0.969,na,0.815139151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI06,13,ANI,dig,Hardy301,original,composite,251,119,31.73,41.27,38.84,128.9,6.064,2,0.969,na,0.815139151,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13ANI06,13,ANI,dig,Hardy301,extreme,composite,251,119,31.73,41.27,38.84,128.9,6.064,2,0.969,na,0.815139151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI06,13,ANI,dig,Hardy301,conservative,composite,251,119,31.73,41.27,38.84,128.9,6.064,2,0.969,na,0.815139151,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13ANI07,13,ANI,dig,Hardy301,original,plastic,256,113,35.1,43.58,42.81,144.9,7.158,2,1.273,na,0.863671303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI07,13,ANI,dig,Hardy301,extreme,plastic,256,113,35.1,43.58,42.81,144.9,7.158,2,1.273,na,0.863671303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI07,13,ANI,dig,Hardy301,conservative,plastic,256,113,35.1,43.58,42.81,144.9,7.158,2,1.273,na,0.863671303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI07,13,ANI,dig,Hardy301,original,composite,256,113,35.1,43.58,42.81,144.9,7.158,2,1.273,na,0.863671303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI07,13,ANI,dig,Hardy301,extreme,composite,256,113,35.1,43.58,42.81,144.9,7.158,2,1.273,na,0.863671303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI07,13,ANI,dig,Hardy301,conservative,composite,256,113,35.1,43.58,42.81,144.9,7.158,2,1.273,na,0.863671303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI08,13,ANI,dig,Hardy301,original,plastic,261,112,33.89,44.76,44.66,135.7,5.987,1,0.934,na,0.763235084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI08,13,ANI,dig,Hardy301,extreme,plastic,261,112,33.89,44.76,44.66,135.7,5.987,1,0.934,na,0.763235084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI08,13,ANI,dig,Hardy301,conservative,plastic,261,112,33.89,44.76,44.66,135.7,5.987,1,0.934,na,0.763235084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI08,13,ANI,dig,Hardy301,original,composite,261,112,33.89,44.76,44.66,135.7,5.987,1,0.934,na,0.763235084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI08,13,ANI,dig,Hardy301,extreme,composite,261,112,33.89,44.76,44.66,135.7,5.987,1,0.934,na,0.763235084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
