sample,event,species,type,lab,contamination,length_mm,weight_g,weight_category,moutharea,moutharea_category,gut_g,condition,condition_category,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13ANI11,13,ANI,dig,Hardy301,original,259,120.1,101–137,607.2,3.72–6.11,5.297,0.691263642,BCS1,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI11,13,ANI,dig,Hardy301,extreme,259,120.1,101–137,607.2,3.72–6.11,5.297,0.691263642,BCS1,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI11,13,ANI,dig,Hardy301,conservative,259,120.1,101–137,607.2,3.72–6.11,5.297,0.691263642,BCS1,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI12,13,ANI,dig,Hardy301,original,248,125.1,101–137,796,6.11–8.51,6.053,0.820166955,BCS2,2,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
13ANI12,13,ANI,dig,Hardy301,extreme,248,125.1,101–137,796,6.11–8.51,6.053,0.820166955,BCS2,2,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
13ANI12,13,ANI,dig,Hardy301,conservative,248,125.1,101–137,796,6.11–8.51,6.053,0.820166955,BCS2,2,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,original,181,56.7,28.5–64.9,230.3,1.31–3.72,7.836,0.956196906,BCS1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,extreme,181,56.7,28.5–64.9,230.3,1.31–3.72,7.836,0.956196906,BCS1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,conservative,181,56.7,28.5–64.9,230.3,1.31–3.72,7.836,0.956196906,BCS1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13NOG02,13,NOG,dig,Hardy301,original,222,143,137–174,412.8,3.72–6.11,13.411,1.307004594,BCS4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13NOG02,13,NOG,dig,Hardy301,extreme,222,143,137–174,412.8,3.72–6.11,13.411,1.307004594,BCS4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13NOG02,13,NOG,dig,Hardy301,conservative,222,143,137–174,412.8,3.72–6.11,13.411,1.307004594,BCS4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13NOG03,13,NOG,dig,Hardy301,original,240,129.2,101–137,471.5,3.72–6.11,10.662,0.934606481,BCS1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13NOG03,13,NOG,dig,Hardy301,extreme,240,129.2,101–137,471.5,3.72–6.11,10.662,0.934606481,BCS1,0,,,,,,,,,,,,,,,,,,,,,,,,,
13NOG03,13,NOG,dig,Hardy301,conservative,240,129.2,101–137,471.5,3.72–6.11,10.662,0.934606481,BCS1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13NOG04,13,NOG,dig,Hardy301,original,247,193.7,174–210,592.3,3.72–6.11,15.516,1.285401377,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
13NOG04,13,NOG,dig,Hardy301,extreme,247,193.7,174–210,592.3,3.72–6.11,15.516,1.285401377,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
13NOG04,13,NOG,dig,Hardy301,conservative,247,193.7,174–210,592.3,3.72–6.11,15.516,1.285401377,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI01,26,ANI,dig,Both,original,211,72.4,64.9–101,386.5,3.72–6.11,5.558,0.770710366,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI01,26,ANI,dig,Both,extreme,211,72.4,64.9–101,386.5,3.72–6.11,5.558,0.770710366,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI01,26,ANI,dig,Both,conservative,211,72.4,64.9–101,386.5,3.72–6.11,5.558,0.770710366,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI02,26,ANI,dig,Both,original,207,74.2,64.9–101,399.2,3.72–6.11,4.197,0.83655186,BCS3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26ANI02,26,ANI,dig,Both,extreme,207,74.2,64.9–101,399.2,3.72–6.11,4.197,0.83655186,BCS3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
